id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-191490,2017-08-31,000001,Vente,30000,9002,,CHE LAPUJADE,5028,31200,31555,Toulouse,31,,,31555804AD0360,,,3649,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.453972,43.618695
2017-191490,2017-08-31,000001,Vente,30000,9002,,CHE LAPUJADE,5028,31200,31555,Toulouse,31,,,31555804AD0360,,,3650,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.453972,43.618695
2017-191490,2017-08-31,000001,Vente,30000,9002,,CHE LAPUJADE,5028,31200,31555,Toulouse,31,,,31555804AD0360,,,3653,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.453972,43.618695
2017-191491,2017-09-06,000001,Vente,77050,84,,BD DE L EMBOUCHURE,2952,31200,31555,Toulouse,31,,,31555802AD0255,,,168,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.42548,43.612445
2017-191491,2017-09-06,000001,Vente,77050,6,,RUE ROLAND GARROS,7580,31200,31555,Toulouse,31,,,31555802AD0255,,,30,30.82,,,,,,,,,1,2,Appartement,30,1,,,,,,1.42548,43.612445
2017-191492,2017-09-22,000001,Vente,84412,40,,RUE BERNARD ORTET,1084,31500,31555,Toulouse,31,,,31555806AC0522,,,220,,,,,,,,,,1,2,Appartement,23,1,,,,,,1.460493,43.613803
2017-191493,2017-08-29,000001,Vente,90000,74,,CHE DE LA BUTTE,1468,31400,31555,Toulouse,31,,,31555837AD0074,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.471237,43.581066
2017-191493,2017-08-29,000001,Vente,90000,74,,CHE DE LA BUTTE,1468,31400,31555,Toulouse,31,,,31555837AD0074,,,29,,,,,,,,,,1,2,Appartement,79,4,,,,,,1.471237,43.581066
2017-191494,2017-09-14,000001,Vente,237308,34,,RUE DES COUTELIERS,2372,31000,31555,Toulouse,31,,,31555817AB0024,,,8,52.33,,,,,,,,,1,2,Appartement,65,3,,,,,,1.441818,43.599058
2017-191497,2017-09-06,000001,Vente,161202,2,,RUE ROLAND GARROS,7580,31200,31555,Toulouse,31,,,31555802AD0255,,,84,108.92,,,,,,,,,1,2,Appartement,110,4,,,,,,1.42548,43.612445
2017-191497,2017-09-06,000001,Vente,161202,2,,RUE ROLAND GARROS,7580,31200,31555,Toulouse,31,,,31555802AD0255,,,107,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.42548,43.612445
2017-191498,2017-08-31,000001,Vente,164000,30,B,CHE SANSOU,8140,31500,31555,Toulouse,31,,,31555835AH0499,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.475203,43.603124
2017-191498,2017-08-31,000001,Vente,164000,30,B,CHE SANSOU,8140,31500,31555,Toulouse,31,,,31555835AH0499,,,32,55.15,,,,,,,,,1,2,Appartement,54,3,,,,,,1.475203,43.603124
2017-191499,2017-09-06,000001,Vente,475500,55,,ALL JEAN JAURES,4600,31000,31555,Toulouse,31,,,31555822AB0535,,,70,117.3,76,,,,,,,,2,2,Appartement,116,4,,,,,,1.451337,43.608218
2017-191500,2017-09-04,000001,Vente en l'état futur d'achèvement,232500,69,,RTE DE REVEL,7448,31400,31555,Toulouse,31,,,31555836AV0027,,,29,,,,,,,,,,1,2,Appartement,64,3,,,,,,1.491058,43.574457
2017-191500,2017-09-04,000001,Vente en l'état futur d'achèvement,232500,69,,RTE DE REVEL,7448,31400,31555,Toulouse,31,,,31555836AV0027,,,180,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.491058,43.574457
2017-191502,2017-09-07,000001,Vente,188600,85,,RUE PARGAMINIERES,6540,31000,31555,Toulouse,31,,,31555818AB0161,,,14,42.59,,,,,,,,,1,2,Appartement,50,2,,,,,,1.440973,43.604534
2017-191502,2017-09-07,000001,Vente,188600,85,,RUE PARGAMINIERES,6540,31000,31555,Toulouse,31,,,31555818AB0161,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.440973,43.604534
2017-191504,2017-09-05,000001,Vente en l'état futur d'achèvement,390000,,,RTE D'ALBI,0124,31200,31555,Toulouse,31,,,31555833AN0144,,,214,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.46316,43.62873
2017-191504,2017-09-05,000001,Vente en l'état futur d'achèvement,390000,,,RTE D'ALBI,0124,31200,31555,Toulouse,31,,,31555833AN0144,,,107,,,,,,,,,,1,2,Appartement,120,5,,,,,,1.46316,43.62873
2017-191504,2017-09-05,000001,Vente en l'état futur d'achèvement,390000,,,RTE D'ALBI,0124,31200,31555,Toulouse,31,,,31555833AN0144,,,215,,,,,,,,,,1,3,Dépendance,,0,,,,,,1.46316,43.62873
2017-191506,2017-09-14,000001,Vente en l'état futur d'achèvement,152500,,,,,,31555,Toulouse,31,,,31555812AD0091,,,3060,,,,,,,,,,1,,,,,,,,,,1.440802,43.57912
2017-191506,2017-09-14,000001,Vente en l'état futur d'achèvement,152500,,,,,,31555,Toulouse,31,,,31555812AD0091,,,3116,,,,,,,,,,1,,,,,,,,,,1.440802,43.57912
2017-191507,2017-09-25,000001,Vente,685000,5,,RUE DE LA POMME,6988,31000,31555,Toulouse,31,,,31555819AB0325,,,89,157.3,,,,,,,,,1,2,Appartement,150,1,,,,,,1.44635,43.601984
