Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
6.2;Alembert;30 rue Jean d' Alembert;Boulodrome;;;;oui;;;Oui;;;;;;;O;N
6.2;La Mounède pelouse Football n°1;1 Rue M.C. Perroud;Terrain;Football à 11 et à 7;Gazon;100x60;non;oui;2+(2);Oui (Public);;;;;5;1998;N;N
6.3;Mirail;6 Rue Ferdinand Laulanié;Plateau multisports extérieur;Piste 120 m, Basket, Handball, Football;Terre;;;;;;;;;;;;O;O
6.3;Valmy gymnase;Cheminemt G.et J. Bouton;Gymnase;Basket (1), Mini-Basket (3) Volley (3), Handball (1), Badmington (4), Escalade;;40 x 20;;;;3;1 ind, 2 coll;200 personnes;;;3ème;;O;O
6.3;Vergers;Impasse des Vergers;Multisports;Basket 1, mini basket 2;Enrobé;;;;;;;;;;;;O;N
6.3;Canto Laouzetto;5 rue de la Tourasse;Piste;Piste 400 m;;;;;;;;;;;;;O;N
6.3;Marmande;Chemin des Capelles;Terrain;Football à 7;Gazon;;;;;;;;;;;;O;N
6.3;Lou Bosc;Rue Françis Laulanie;Boulodrome;;;;oui;;;;;;;oui;;;O;N
6.3;Bouillière;Place Edouard Bouillière;Boulodrome;;;;oui;;;;;;;;;;O;N
6.3;Gauguin Paul;Rue Paul Gauguin;Boulodrome;;;;;;;;;;;;;;O;N
6.3;Reynnerie Synthétique Foot à 7;Rue Jean François lesueur;Terrain;Football à  7 à 5 et à 2, piste 200m;Synthétique;;;;;;;;;;;;O;N
6.3;Vergers;Impasse des Vergers;Multisports;Basket, Handball, football;Enrobé;;;;;;;;;;;;O;N
6.3;Jardin de l'hippodrome;Impasse de l'hypodrome;Plateau multisports extérieur;Basket;Enrobé;;;;;;;;;;;;O;N
6.3;Bourliaguet;Rue Aristide Maillol;City-Stade;Basket, Handball, Tennis de table (4);Synthétique;;;;;;;;;;;;O;N
6.4;Jean Daniel;chemin du cimetière de l'Eglise;Boulodrome;;;;oui;;;;;;;oui;;;O;N
6.4;Marcel Sarcos pelouse football;10 Chemin de Liffard;Terrain;Football à 11 et à 7;Gazon;100X65;oui;oui;4+(2);Oui (Public);;;386;oui;3;2001;O;O
6.5;Gironis;35 Rue de Gironis;Boulodrome;;;;oui;;;;;;;oui;;;O;N
6.5;La Saudrune pelouse Football n°1;21 Chemin de la Saudrune;Terrain;Football à 11 et à 7, Rugby;Gazon;100x65;oui/50%;oui;2+(1);Oui (Public);;;;oui;5;1999;N;N
